"107年06月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","12,873.48","-","1.77","-0.01","",
"發行量加權股價指數","11,149.23","-","7.19","-0.06","",
"臺灣公司治理100指數","6,153.49","-","13.85","-0.22","",
"臺灣50指數","8,251.79","-","17.79","-0.22","",
"臺灣中型100指數","8,536.33","+","2.79","0.03","",
"臺灣資訊科技指數","10,243.61","-","22.23","-0.22","",
"臺灣發達指數","9,293.51","-","16.24","-0.17","",
"臺灣高股息指數","6,258.74","-","1.03","-0.02","",
"臺灣就業99指數","6,641.33","-","7.28","-0.11","",
"臺灣高薪100指數","6,152.54","-","2.33","-0.04","",
"臺灣低波動高股息指數","1,672.17","+","0.14","0.01","",
"未含金融保險股指數","9,416.67","-","6.36","-0.07","",
"未含電子股指數","15,296.87","-","34.48","-0.22","",
"未含金融電子股指數","12,992.75","-","39.02","-0.30","",
"小型股300指數","6,858.20","+","39.32","0.58","",
"水泥窯製類指數","535.77","-","3.19","-0.59","",
"塑膠化工類指數","976.49","-","0.78","-0.08","",
"機電類指數","2,593.23","+","1.66","0.06","",
"水泥類指數","139.05","-","1.06","-0.76","",
"食品類指數","1,760.71","-","16.12","-0.91","",
"塑膠類指數","311.68","-","0.34","-0.11","",
"紡織纖維類指數","529.32","-","9.38","-1.74","",
"電機機械類指數","205.81","-","0.46","-0.22","",
"電器電纜類指數","62.88","+","0.44","0.70","",
"化學生技醫療類指數","106.59","-","0.08","-0.07","",
"化學類指數","110.66","+","0.03","0.03","",
"生技醫療類指數","71.38","-","0.15","-0.21","",
"玻璃陶瓷類指數","46.77","+","0.14","0.30","",
"造紙類指數","236.60","-","2.00","-0.84","",
"鋼鐵類指數","106.50","-","0.94","-0.87","",
"橡膠類指數","272.32","+","0.37","0.14","",
"汽車類指數","229.08","+","1.41","0.62","",
"電子類指數","459.26","+","0.32","0.07","",
"半導體類指數","166.79","-","0.21","-0.13","",
"電腦及週邊設備類指數","101.28","+","0.12","0.12","",
"光電類指數","45.37","+","0.17","0.38","",
"通信網路類指數","126.17","-","0.47","-0.37","",
"電子零組件類指數","125.03","+","2.23","1.82","",
"電子通路類指數","131.19","+","0.30","0.23","",
"資訊服務類指數","95.38","-","0.60","-0.63","",
"其他電子類指數","96.11","-","0.52","-0.54","",
"建材營造類指數","281.47","-","0.72","-0.26","",
"航運類指數","63.49","-","0.07","-0.11","",
"觀光類指數","119.81","-","1.29","-1.07","",
"金融保險類指數","1,289.48","-","0.58","-0.04","",
"貿易百貨類指數","264.61","+","0.17","0.06","",
"油電燃氣類指數","155.69","-","0.60","-0.38","",
"其他類指數","250.81","+","0.29","0.12","",
"臺指日報酬兩倍指數","17,852.52","-","23.04","-0.13","",
"臺指日報酬反向一倍指數","7,038.98","+","4.53","0.06","",
"電子類兩倍槓桿指數","14,086.88","+","19.62","0.14","",
"電子類反向指數","7,589.52","-","5.30","-0.07","",
